fips,county,candidate,party,votes,state,rangoPoblacion,rangoMenores,rangoMayores,rangoAncianos,rangoMujer,rangoHombre,rangoPoblacionBlanca,rangoPoblacionNegra,rangoPoblacionNativo,rangoPoblacionAsiaticos,rangoPoblacionHawaianos,rangoPoblacionLatinos
45001,Abbeville,Hillary Clinton,Democrat,1501,South Carolina,3,1,3,1,2,1,3,2,1,1,1,1
22001,Acadia,Hillary Clinton,Democrat,1862,Louisiana,3,2,3,1,2,1,4,1,1,1,1,1
51001,Accomack,Donald Trump,Republican,2068,Virginia,3,1,3,1,2,1,3,2,1,1,1,1
16001,Ada,Ted Cruz,Republican,20156,Idaho,4,2,3,1,1,2,4,1,1,1,1,1
40001,Adair,Donald Trump,Republican,3511,Oklahoma,3,2,3,1,1,2,2,1,2,1,1,1
55001,Adams,Donald Trump,Republican,28150,Wisconsin,3,1,3,2,1,2,4,1,1,1,1,1
45003,Aiken,Donald Trump,Republican,9027,South Carolina,4,1,3,1,2,1,3,2,1,1,1,1
12001,Alachua,Hillary Clinton,Democrat,17733,Florida,4,1,3,1,2,1,3,1,1,1,1,1
37001,Alamance,Hillary Clinton,Democrat,7374,North Carolina,4,1,3,1,2,1,4,1,1,1,1,1
6001,Alameda,Hillary Clinton,Democrat,107102,California,4,1,3,1,2,1,3,1,1,2,1,1
8003,Alamosa,Bernie Sanders,Democrat,167,Colorado,3,1,3,1,1,2,4,1,1,1,1,2
56001,Albany,Bernie Sanders,Democrat,20586,Wyoming,3,1,3,1,1,2,4,1,1,1,1,1
51003,Albemarle,Hillary Clinton,Democrat,8284,Virginia,4,1,3,1,2,1,4,1,1,1,1,1
26001,Alcona,Donald Trump,Republican,1111,Michigan,3,1,2,2,1,2,4,1,1,1,1,1
28003,Alcorn,Donald Trump,Republican,2901,Mississippi,3,1,3,1,2,1,4,1,1,1,1,1
37003,Alexander,Ted Cruz,Republican,3041,North Carolina,3,1,3,1,1,2,4,1,1,1,1,1
51510,Alexandria,Hillary Clinton,Democrat,16281,Virginia,4,1,3,1,2,1,3,1,1,1,1,1
40003,Alfalfa,Ted Cruz,Republican,421,Oklahoma,2,1,3,1,1,2,4,1,1,1,1,1
26003,Alger,Bernie Sanders,Democrat,622,Michigan,2,1,3,1,1,2,4,1,1,1,1,1
19005,Allamakee,Hillary Clinton,Democrat,304,Iowa,3,1,3,1,1,2,4,1,1,1,1,1
26005,Allegan,Ted Cruz,Republican,7530,Michigan,4,1,3,1,2,1,4,1,1,1,1,1
36003,Allegany,Donald Trump,Republican,8974,New York,3,1,3,1,1,2,4,1,1,1,1,1
51005,Alleghany,Donald Trump,Republican,1532,Virginia,3,1,3,1,2,1,4,1,1,1,1,1
