fips,county,candidate,party,votes,state,pst045214,age135214,age295214,age775214,sex255214,rhi125214,rhi225214,rhi325214,rhi425214,rhi525214,rhi625214,rhi725214,rhi825214,edu635213,edu685213,vet605213
45001,Abbeville,Hillary Clinton,Democrat,1501,South Carolina,24965,5.4000000000000004,21.5,19.399999999999999,51.5,69.700000000000003,28.300000000000001,0.29999999999999999,0.40000000000000002,0,1.2,1.2,68.799999999999997,76.799999999999997,12.199999999999999,1944
22001,Acadia,Hillary Clinton,Democrat,1862,Louisiana,62486,7.0999999999999996,26.699999999999999,13.5,51.5,79.599999999999994,18.300000000000001,0.29999999999999999,0.40000000000000002,0,1.3,2.2000000000000002,77.799999999999997,72.099999999999994,10.199999999999999,3417
51001,Accomack,Donald Trump,Republican,2068,Virginia,33021,6,20.899999999999999,21.300000000000001,51.299999999999997,68.799999999999997,28.100000000000001,0.69999999999999996,0.69999999999999996,0.20000000000000001,1.6000000000000001,8.9000000000000004,61.100000000000001,78,17.199999999999999,3255
16001,Ada,Ted Cruz,Republican,20156,Idaho,426236,6.2000000000000002,25.100000000000001,12.6,49.899999999999999,92.400000000000006,1.3,0.80000000000000004,2.6000000000000001,0.20000000000000001,2.7000000000000002,7.7000000000000002,85.5,93.599999999999994,36,29195
40001,Adair,Donald Trump,Republican,3511,Oklahoma,22186,6.7999999999999998,26.800000000000001,14.5,49.700000000000003,44.600000000000001,0.5,44,0.59999999999999998,0,10.300000000000001,6.0999999999999996,41.899999999999999,77.400000000000006,12.699999999999999,1691
55001,Adams,Donald Trump,Republican,28150,Wisconsin,20215,3.7000000000000002,14.9,27.100000000000001,46.399999999999999,94,3.2000000000000002,1.1000000000000001,0.5,0.10000000000000001,1.2,3.8999999999999999,90.599999999999994,85.299999999999997,12.1,2551
45003,Aiken,Donald Trump,Republican,9027,South Carolina,164753,5.7000000000000002,22.100000000000001,17.5,51.5,71.400000000000006,25.100000000000001,0.5,0.90000000000000002,0.10000000000000001,1.8999999999999999,5.4000000000000004,67,84.799999999999997,24,14081
12001,Alachua,Hillary Clinton,Democrat,17733,Florida,256380,5.5999999999999996,18.100000000000001,12.5,51.700000000000003,70.599999999999994,20.5,0.29999999999999999,5.9000000000000004,0.10000000000000001,2.6000000000000001,9.0999999999999996,62.600000000000001,91.200000000000003,40.5,17015
37001,Alamance,Hillary Clinton,Democrat,7374,North Carolina,155792,5.7999999999999998,22.899999999999999,16.100000000000001,52.299999999999997,75.5,19.5,1.3999999999999999,1.6000000000000001,0.10000000000000001,1.8999999999999999,12.1,65.700000000000003,83,21.699999999999999,10719
6001,Alameda,Hillary Clinton,Democrat,107102,California,1610921,6.0999999999999996,21.399999999999999,12.5,51,51.700000000000003,12.1,1.1000000000000001,28.899999999999999,1,5.2000000000000002,22.699999999999999,32.799999999999997,86.400000000000006,41.799999999999997,63738
8003,Alamosa,Bernie Sanders,Democrat,167,Colorado,16177,7.7000000000000002,23.899999999999999,12.6,49.600000000000001,87.799999999999997,1.8999999999999999,5.5,1.6000000000000001,0.29999999999999999,3,45.5,49.5,84.700000000000003,24.199999999999999,1121
56001,Albany,Bernie Sanders,Democrat,20586,Wyoming,37811,5.2000000000000002,16.5,9.8000000000000007,47.700000000000003,91.599999999999994,1.8,1.1000000000000001,3.1000000000000001,0.10000000000000001,2.3999999999999999,9.4000000000000004,83.400000000000006,95.299999999999997,48,2289
51003,Albemarle,Hillary Clinton,Democrat,8284,Virginia,104489,5.5,21,16.5,52.200000000000003,82.299999999999997,9.9000000000000004,0.40000000000000002,4.9000000000000004,0.10000000000000001,2.5,5.7000000000000002,77.5,91.400000000000006,52.200000000000003,6838
26001,Alcona,Donald Trump,Republican,1111,Michigan,10454,3.1000000000000001,13.199999999999999,34.799999999999997,49.799999999999997,97.700000000000003,0.29999999999999999,0.69999999999999996,0.29999999999999999,0,0.90000000000000002,1.5,96.299999999999997,86.900000000000006,13,1702
28003,Alcorn,Donald Trump,Republican,2901,Mississippi,37380,6.2000000000000002,23.800000000000001,17.100000000000001,51.100000000000001,85.700000000000003,12.5,0.29999999999999999,0.40000000000000002,0,1,3.1000000000000001,82.900000000000006,78.5,17.399999999999999,2377
37003,Alexander,Ted Cruz,Republican,3041,North Carolina,37392,5,21,18.899999999999999,49.200000000000003,91.200000000000003,5.9000000000000004,0.40000000000000002,1.1000000000000001,0,1.3,4.4000000000000004,87.299999999999997,79.299999999999997,11.699999999999999,2507
51510,Alexandria,Hillary Clinton,Democrat,16281,Virginia,150575,7.5,17.800000000000001,10.1,51.600000000000001,66.400000000000006,22.600000000000001,0.80000000000000004,6.9000000000000004,0.10000000000000001,3.1000000000000001,16.600000000000001,52.299999999999997,91.200000000000003,61.399999999999999,10810
40003,Alfalfa,Ted Cruz,Republican,421,Oklahoma,5790,5.4000000000000004,19.600000000000001,17.800000000000001,39.899999999999999,88.799999999999997,4.2999999999999998,4.0999999999999996,0.40000000000000002,0.10000000000000001,2.3999999999999999,5,84.700000000000003,86.099999999999994,21.399999999999999,577
26003,Alger,Bernie Sanders,Democrat,622,Michigan,9459,3.3999999999999999,15.4,23.699999999999999,45,85.5,6.9000000000000004,4,0.5,0,3.1000000000000001,1.3,84.599999999999994,89.400000000000006,17.100000000000001,1100
19005,Allamakee,Hillary Clinton,Democrat,304,Iowa,14038,6.0999999999999996,22.5,21.300000000000001,48.799999999999997,96.400000000000006,1.3999999999999999,0.59999999999999998,0.5,0.29999999999999999,0.90000000000000002,5.7000000000000002,91.5,89,14.9,1282
26005,Allegan,Ted Cruz,Republican,7530,Michigan,113847,6,24.899999999999999,15.1,50.100000000000001,95.200000000000003,1.3999999999999999,0.80000000000000004,0.80000000000000004,0,1.8,7.0999999999999996,88.799999999999997,90,20.199999999999999,7700
36003,Allegany,Donald Trump,Republican,8974,New York,47736,5.0999999999999996,20.699999999999999,17.100000000000001,49.399999999999999,95.799999999999997,1.3,0.29999999999999999,1.3,0,1.3,1.6000000000000001,94.599999999999994,88.299999999999997,18.899999999999999,4359
51005,Alleghany,Donald Trump,Republican,1532,Virginia,15820,4.2999999999999998,19.100000000000001,24.300000000000001,50.799999999999997,92.900000000000006,4.7999999999999998,0.20000000000000001,0.5,0.10000000000000001,1.5,1.3999999999999999,91.799999999999997,82.700000000000003,16.399999999999999,1435
42003,Allegheny,Hillary Clinton,Democrat,122399,Pennsylvania,1231255,5.2999999999999998,19,17.399999999999999,51.799999999999997,81,13.4,0.20000000000000001,3.3999999999999999,0,2,1.8999999999999999,79.599999999999994,92.900000000000006,35.899999999999999,93347
39003,Allen,Donald Trump,Republican,37700,Ohio,105040,6.0999999999999996,23.300000000000001,15.9,49.600000000000001,83.700000000000003,12.4,0.29999999999999999,0.80000000000000004,0,2.7999999999999998,2.7999999999999998,81.5,88.400000000000006,17.199999999999999,8285
45005,Allendale,Hillary Clinton,Democrat,1022,South Carolina,9695,5.0999999999999996,19.5,16.300000000000001,46.100000000000001,25.399999999999999,72.900000000000006,0.29999999999999999,0.59999999999999998,0,0.80000000000000004,2.8999999999999999,23.300000000000001,71.900000000000006,15,622
26007,Alpena,Donald Trump,Republican,1885,Michigan,28988,4.5999999999999996,19.399999999999999,21.5,50.899999999999999,97.200000000000003,0.40000000000000002,0.59999999999999998,0.59999999999999998,0.10000000000000001,1.2,1.3,96,88,16,2800
6003,Alpine,Bernie Sanders,Democrat,129,California,1116,3.2999999999999998,20,21.100000000000001,48,70.299999999999997,0.29999999999999999,24.699999999999999,1.3,0,3.3999999999999999,9.5999999999999996,64.700000000000003,90.400000000000006,31.199999999999999,177
6005,Amador,Donald Trump,Republican,3605,California,36742,3.7000000000000002,15.300000000000001,25.100000000000001,46.899999999999999,90.700000000000003,2.1000000000000001,2.2000000000000002,1.3999999999999999,0.20000000000000001,3.2999999999999998,13,79.599999999999994,88.099999999999994,19.300000000000001,4631
51007,Amelia,Donald Trump,Republican,1055,Virginia,12855,5.2999999999999998,21.100000000000001,18.199999999999999,51.299999999999997,74.799999999999997,21.899999999999999,0.59999999999999998,1.1000000000000001,0.10000000000000001,1.6000000000000001,3.1000000000000001,72.700000000000003,78.900000000000006,14,1082
51009,Amherst,Bernie Sanders,Democrat,5840,Virginia,32041,5,19.800000000000001,18.899999999999999,52.200000000000003,77.299999999999997,19.100000000000001,0.90000000000000002,0.5,0,2.1000000000000001,2.2000000000000002,75.400000000000006,79.099999999999994,17.399999999999999,2551
28005,Amite,Hillary Clinton,Democrat,1212,Mississippi,12629,5.9000000000000004,21.100000000000001,21,51.399999999999999,57.899999999999999,40.899999999999999,0.20000000000000001,0.10000000000000001,0,0.80000000000000004,1,57.299999999999997,74.700000000000003,11.6,726
48001,Anderson,Donald Trump,Republican,18236,Texas,57627,5.0999999999999996,19.199999999999999,13.800000000000001,39,75.200000000000003,21.699999999999999,0.69999999999999996,0.80000000000000004,0.10000000000000001,1.5,17,59.899999999999999,79,10.9,4592
29003,Andrew,Donald Trump,Republican,1457,Missouri,17379,5.2000000000000002,22.899999999999999,17.5,50.5,97,0.80000000000000004,0.29999999999999999,0.5,0,1.3,2.2000000000000002,95.099999999999994,90.299999999999997,22,1496
48003,Andrews,Ted Cruz,Republican,1349,Texas,17477,9.3000000000000007,30.600000000000001,9.9000000000000004,48.899999999999999,93.900000000000006,2.2000000000000002,1.5,0.90000000000000002,0,1.3999999999999999,54.600000000000001,41.600000000000001,73.599999999999994,14.199999999999999,972
48005,Angelina,Ted Cruz,Republican,6875,Texas,87750,7,26.100000000000001,15,51.100000000000001,81.200000000000003,15.699999999999999,0.80000000000000004,1.1000000000000001,0.10000000000000001,1.2,21.199999999999999,61.5,78.200000000000003,15,6425
